,Fish,Current_BB,Current_F,cluster,cluster_names,name
467,SWORDEPAC,8.96,0.06,Eat Me,Eat Me,Swordfish Eastern Pacific
344,ESOLEPCOAST,6.42,0.0741,Eat Me,Eat Me,English sole Pacific Coast
398,RSARDINWA,5.79,3.27,Eat Me,Eat Me,Round Sardinella West Africa
402,NZLINGLIN5-6,4.33,0.0412,Eat Me,Eat Me,New Zealand ling New Zealand Areas LIN 5 and 6
73,ATOOTHFISHRS,4.03,0.322,Eat Me,Eat Me,Antarctic toothfish Ross Sea
35,ARFLOUNDPCOAST,3.81,0.21,Eat Me,Eat Me,Arrowtooth flounder Pacific Coast
108,PTOOTHFISHPEI,3.6,0.006490000000000001,Eat Me,Eat Me,Patagonian toothfish South Africa Subantarctic Prince Edward Islands
333,DSOLEPCOAST,3.44,0.124,Eat Me,Eat Me,Dover sole Pacific Coast
32,KMACKGM,3.33,1.23,Eat Me,Eat Me,King mackerel Gulf of Mexico
343,ARFLOUNDBSAI,3.16,0.0759,Eat Me,Eat Me,Arrowtooth flounder Bering Sea and Aleutian Islands
204,CALSCORPSCAL,3.15,0.441,Eat Me,Eat Me,California scorpionfish Southern California
437,NZLINGLIN3-4,3.13,0.12300000000000001,Eat Me,Eat Me,New Zealand ling New Zealand Areas LIN 3 and 4
411,ARFLOUNDGA,2.99,0.0787,Eat Me,Eat Me,Arrowtooth flounder Gulf of Alaska
104,RKCRABPI,2.93,0.28,Eat Me,Eat Me,Red king crab Pribilof Islands
470,GRNSTROCKPCOAST,2.81,0.0044,Eat Me,Eat Me,Greenstriped rockfish Pacific Coast
494,ATLCROAKMATLC,2.78,0.282,Eat Me,Eat Me,Atlantic croaker Mid-Atlantic Coast
174,FLSOLEGA,2.6,0.036,Eat Me,Eat Me,Flathead sole Gulf of Alaska
302,KMACKSATLC,2.59,0.168,Eat Me,Eat Me,King mackerel Southern Atlantic Coast
33,DSOLEGA,2.57,0.0483,Eat Me,Eat Me,Dover sole Gulf of Alaska
268,LINGCODNPCOAST,2.56,0.253,Eat Me,Eat Me,Lingcod Northern Pacific Coast
389,GOPHERSPCOAST,2.55,0.345,Eat Me,Eat Me,Gopher rockfish Southern Pacific Coast
405,NZLINGLIN72,2.49,0.32299999999999995,Eat Me,Eat Me,New Zealand ling New Zealand Area LIN 72
335,CTRACSA,2.48,0.171,Eat Me,Eat Me,Cape horse mackerel South Africa South coast
128,SOUTHHAKESA,2.4,0.10800000000000001,Eat Me,Eat Me,Southern hake Sub-Antarctic
403,CABEZSCAL,2.36,0.182,Eat Me,Eat Me,Cabezon Southern California
480,NRSOLEEBSAI,2.33,0.231,Eat Me,Eat Me,Northern rock sole Eastern Bering Sea and Aleutian Islands
93,PTOOTHFISHMI,2.3,0.19399999999999998,Eat Me,Eat Me,Patagonian toothfish Macquarie Island
59,ARGANCHOSARG,2.28,0.0353,Eat Me,Eat Me,Argentine anchoita Southern Argentina
331,BLACKROCKSPCOAST,2.23,0.327,Eat Me,Eat Me,Black rockfish Southern Pacific Coast
133,TARAKNZ,2.22,0.7659999999999999,Eat Me,Eat Me,Tarakihi New Zealand
122,NZLINGLIN7WC,2.21,0.134,Eat Me,Eat Me,New Zealand ling New Zealand Area LIN 7WC - WCSI
16,BTIPSHARGM,2.19,0.0775,Eat Me,Eat Me,New Zealand ling New Zealand Area LIN 6b
390,NZLINGLIN6b,2.19,0.113,Eat Me,Eat Me,Longspine thornyhead Pacific Coast
25,LSTHORNHPCOAST,2.19,0.14300000000000002,Eat Me,Eat Me,Blacktip shark Gulf of Mexico
103,POLL5YZ,2.15,0.28,Eat Me,Eat Me,Pollock NAFO-5YZ
374,PATGRENADIERSARG,2.15,0.595,Eat Me,Eat Me,Patagonian grenadier Southern Argentina
379,SNROCKPCOAST,2.05,0.0578,Eat Me,Eat Me,Splitnose Rockfish Pacific Coast
153,FLSOLEBSAI,2.04,0.166,Eat Me,Eat Me,Flathead sole Bering Sea and Aleutian Islands
52,HOKIENZ,1.99,0.382,Avoid Me,Never Eat Me,Hoki Eastern New Zealand
29,TIGERFLATSE,1.99,0.547,Avoid Me,Never Eat Me,Tiger flathead Southeast Australia
84,CHILISPCOAST,1.96,0.0345,Avoid Me,Never Eat Me,Chilipepper Southern Pacific Coast
498,OROUGHYCR,1.96,0.41700000000000004,Avoid Me,Never Eat Me,Orange Roughy Chatham Rise
23,ALBAMED,1.91,0.06,Avoid Me,Never Eat Me,Shallow-water cape hake South Africa
179,CHAKESA,1.91,1.09,Avoid Me,Never Eat Me,Albacore tuna Mediterranean
469,SCMPBP,1.89,0.253,Avoid Me,Never Eat Me,Scampi Bay of Plenty
64,REDFISHSPP3LN,1.88,0.0407,Avoid Me,Never Eat Me,Redfish species NAFO 3LN
10,PCODGA,1.84,0.5489999999999999,Avoid Me,Never Eat Me,Spanish mackerel Gulf of Mexico
415,SPANMACKGM,1.84,0.33299999999999996,Avoid Me,Never Eat Me,Pacific cod Gulf of Alaska
14,CABEZNCAL,1.82,0.222,Avoid Me,Never Eat Me,Cabezon Northern California
105,BLACKROCKNPCOAST,1.77,0.28,Avoid Me,Never Eat Me,Black rockfish Northern Pacific Coast
493,LNOSESKAPCOAST,1.76,0.8,Avoid Me,Never Eat Me,Longnose skate Pacific Coast
348,YSOLEBSAI,1.75,0.615,Avoid Me,Never Eat Me,Yellowfin sole Bering Sea and Aleutian Islands
81,BUTTERGOMCHATT,1.74,0.0247,Avoid Me,Never Eat Me,Atlantic butterfish Gulf of Maine / Cape Hatteras
425,ALPLAICBSAI,1.69,0.177,Avoid Me,Never Eat Me,Alaska plaice Bering Sea and Aleutian Islands
463,SSTHORNHPCOAST,1.68,0.265,Avoid Me,Never Eat Me,Shortspine thornyhead Pacific Coast
50,YEGROUPGM,1.67,0.68,Avoid Me,Never Eat Me,Yellowedge grouper Gulf of Mexico
422,HERRNWATLC,1.66,0.33899999999999997,Avoid Me,Never Eat Me,Atlantic herring Northwestern Atlantic Coast
325,SCMPWHB,1.65,0.335,Avoid Me,Never Eat Me,Scampi Wairapa/Hawke Bay
365,AUSSALMONNZ,1.64,0.32799999999999996,Avoid Me,Never Eat Me,Yellowtail Flounder NAFO 3LNO
456,YELL3LNO,1.64,0.485,Avoid Me,Never Eat Me,Australian salmon New Zealand
83,LINGCODSPCOAST,1.63,0.0932,Avoid Me,Never Eat Me,Pacific Ocean perch Eastern Bering Sea and Aleutian Islands
447,WPOLLWBS,1.63,0.96,Avoid Me,Never Eat Me,Lingcod Southern Pacific Coast
388,PERCHEBSAI,1.63,0.345,Avoid Me,Never Eat Me,Walleye pollock Western Bering Sea
146,SURFMATLC,1.62,0.18100000000000002,Avoid Me,Never Eat Me,Atlantic surfclam Mid-Atlantic Coast
