,stockid,stocklong,year,TL,F,ER,ssbssbmsy,ffmsy,uumsy,Btouse,Ctouse,Utouse,B/Bmsytouse,U/Umsytouse,B/Bmgttouse,U/Umgttouse,r
0,ACADREDGOMGB,Acadian redfish Gulf of Maine / Georges Bank,1913,7.0,1.13e-05,4.74e-06,2.37,0.0003,0.000291,2090000.0,7.0,1.13e-05,2.37,0.0003,2.37,0.0003,0.0006
1,ACADREDGOMGB,Acadian redfish Gulf of Maine / Georges Bank,1914,30.0,4.66e-05,2.0300000000000002e-05,2.37,0.00124,0.00125,2090000.0,30.0,4.66e-05,2.37,0.00124,2.37,0.00124,0.00248
2,ACADREDGOMGB,Acadian redfish Gulf of Maine / Georges Bank,1915,40.0,6.29e-05,2.71e-05,2.37,0.0016699999999999998,0.0016699999999999998,2090000.0,40.0,6.29e-05,2.37,0.0016699999999999998,2.37,0.0016699999999999998,0.0033399999999999997
3,ACADREDGOMGB,Acadian redfish Gulf of Maine / Georges Bank,1916,53.0,8.31e-05,3.59e-05,2.37,0.0022,0.00221,2090000.0,53.0,8.31e-05,2.37,0.0022,2.37,0.0022,0.0044
4,ACADREDGOMGB,Acadian redfish Gulf of Maine / Georges Bank,1917,82.0,0.000129,5.550000000000001e-05,2.37,0.0034200000000000003,0.0034100000000000003,2090000.0,82.0,0.000129,2.37,0.0034200000000000003,2.37,0.0034200000000000003,0.006840000000000001
5,ACADREDGOMGB,Acadian redfish Gulf of Maine / Georges Bank,1918,73.0,0.00011399999999999999,4.94e-05,2.37,0.00303,0.0030399999999999997,2090000.0,73.0,0.00011399999999999999,2.37,0.00303,2.37,0.00303,0.00606
6,ACADREDGOMGB,Acadian redfish Gulf of Maine / Georges Bank,1919,25.0,3.8799999999999994e-05,1.6899999999999997e-05,2.37,0.00103,0.0010400000000000001,2090000.0,25.0,3.8799999999999994e-05,2.37,0.00103,2.37,0.00103,0.00206
7,ACADREDGOMGB,Acadian redfish Gulf of Maine / Georges Bank,1920,31.0,4.8e-05,2.1e-05,2.37,0.0012699999999999999,0.0012900000000000001,2090000.0,31.0,4.8e-05,2.37,0.0012699999999999999,2.37,0.0012699999999999999,0.0025399999999999997
8,ACADREDGOMGB,Acadian redfish Gulf of Maine / Georges Bank,1921,13.0,1.9600000000000002e-05,8.8e-06,2.37,0.0005200000000000001,0.000541,2090000.0,13.0,1.9600000000000002e-05,2.37,0.0005200000000000001,2.37,0.0005200000000000001,0.0010400000000000001
9,ACADREDGOMGB,Acadian redfish Gulf of Maine / Georges Bank,1922,9.0,1.34e-05,6.09e-06,2.37,0.00035499999999999996,0.00037400000000000004,2090000.0,9.0,1.34e-05,2.37,0.00035499999999999996,2.37,0.00035499999999999996,0.0007099999999999999
10,ACADREDGOMGB,Acadian redfish Gulf of Maine / Georges Bank,1923,7.0,1.0800000000000002e-05,4.73e-06,2.37,0.000286,0.000291,2100000.0,7.0,1.0800000000000002e-05,2.37,0.000286,2.37,0.000286,0.000572
11,ACADREDGOMGB,Acadian redfish Gulf of Maine / Georges Bank,1924,40.0,6.2e-05,2.7000000000000002e-05,2.37,0.00164,0.0016600000000000002,2100000.0,40.0,6.2e-05,2.37,0.00164,2.37,0.00164,0.00328
12,ACADREDGOMGB,Acadian redfish Gulf of Maine / Georges Bank,1925,25.0,3.86e-05,1.6899999999999997e-05,2.37,0.0010199999999999999,0.0010400000000000001,2100000.0,25.0,3.86e-05,2.37,0.0010199999999999999,2.37,0.0010199999999999999,0.0020399999999999997
13,ACADREDGOMGB,Acadian redfish Gulf of Maine / Georges Bank,1926,30.0,4.6399999999999996e-05,2.0300000000000002e-05,2.38,0.00123,0.00125,2100000.0,30.0,4.6399999999999996e-05,2.38,0.00123,2.38,0.00123,0.00246
14,ACADREDGOMGB,Acadian redfish Gulf of Maine / Georges Bank,1927,30.0,4.68e-05,2.02e-05,2.38,0.00124,0.00124,2100000.0,30.0,4.68e-05,2.38,0.00124,2.38,0.00124,0.00248
15,ACADREDGOMGB,Acadian redfish Gulf of Maine / Georges Bank,1928,57.0,8.89e-05,3.84e-05,2.38,0.00236,0.00236,2100000.0,57.0,8.89e-05,2.38,0.00236,2.38,0.00236,0.00472
16,ACADREDGOMGB,Acadian redfish Gulf of Maine / Georges Bank,1929,34.0,5.27e-05,2.2899999999999998e-05,2.38,0.0014,0.00141,2100000.0,34.0,5.27e-05,2.38,0.0014,2.38,0.0014,0.0028
17,ACADREDGOMGB,Acadian redfish Gulf of Maine / Georges Bank,1930,54.0,8.37e-05,3.64e-05,2.38,0.0022199999999999998,0.00224,2100000.0,54.0,8.37e-05,2.38,0.0022199999999999998,2.38,0.0022199999999999998,0.0044399999999999995
18,ACADREDGOMGB,Acadian redfish Gulf of Maine / Georges Bank,1931,108.0,0.000167,7.269999999999999e-05,2.38,0.0044399999999999995,0.00447,2100000.0,108.0,0.000167,2.38,0.0044399999999999995,2.38,0.0044399999999999995,0.008879999999999999
19,ACADREDGOMGB,Acadian redfish Gulf of Maine / Georges Bank,1932,60.0,9.32e-05,4.04e-05,2.38,0.00247,0.00248,2110000.0,60.0,9.32e-05,2.38,0.00247,2.38,0.00247,0.00494
20,ACADREDGOMGB,Acadian redfish Gulf of Maine / Georges Bank,1933,120.0,0.00018600000000000002,8.070000000000001e-05,2.39,0.00494,0.00496,2110000.0,120.0,0.00018600000000000002,2.39,0.00494,2.39,0.00494,0.00988
21,ACADREDGOMGB,Acadian redfish Gulf of Maine / Georges Bank,1934,519.0,0.0008060000000000001,0.000349,2.39,0.0214,0.0215,2110000.0,519.0,0.0008060000000000001,2.39,0.0214,2.39,0.0214,0.0428
22,ACADREDGOMGB,Acadian redfish Gulf of Maine / Georges Bank,1935,7550.0,0.0118,0.0051,2.37,0.313,0.314,2100000.0,7550.0,0.0118,2.37,0.313,2.37,0.313,0.626
23,ACADREDGOMGB,Acadian redfish Gulf of Maine / Georges Bank,1936,23200.0,0.037,0.016,2.33,0.982,0.982,2050000.0,23200.0,0.037,2.33,0.982,2.33,0.982,1.964
24,ACADREDGOMGB,Acadian redfish Gulf of Maine / Georges Bank,1937,14800.0,0.0244,0.0105,2.26,0.647,0.648,1990000.0,14800.0,0.0244,2.26,0.647,2.26,0.647,1.294
25,ACADREDGOMGB,Acadian redfish Gulf of Maine / Georges Bank,1938,20600.0,0.0349,0.0151,2.2,0.9259999999999999,0.9259999999999999,1940000.0,20600.0,0.0349,2.2,0.9259999999999999,2.2,0.9259999999999999,1.8519999999999999
26,ACADREDGOMGB,Acadian redfish Gulf of Maine / Georges Bank,1939,25400.0,0.0446,0.0192,2.12,1.18,1.18,1870000.0,25400.0,0.0446,2.12,1.18,2.12,1.18,2.36
27,ACADREDGOMGB,Acadian redfish Gulf of Maine / Georges Bank,1940,26800.0,0.049,0.0211,2.03,1.3,1.3,1800000.0,26800.0,0.049,2.03,1.3,2.03,1.3,2.6
28,ACADREDGOMGB,Acadian redfish Gulf of Maine / Georges Bank,1941,50800.0,0.0996,0.0427,1.91,2.64,2.62,1690000.0,50800.0,0.0996,1.91,2.64,1.91,2.64,5.28
